index,Name,Smiles,Details,Reference,Year,log10_H2O,diamine_name,diamine_smiles,acyl_chloride_name,acyl_chloride_smiles,,confidence,verification_source
2,BW30-50ppmNaOCl-pH7,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.memsci.2020.118400,2020,3.7,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Verbeke - chlorination of PA membranes
3,HFAPA-on-REFPA,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.memsci.2013.02.044,2013,2.69,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Hye La - MPD/TMC interfacial polymerization
4,REFPA,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.memsci.2013.02.044,2013,2.93,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Hye La - MPD/TMC interfacial polymerization
5,DCWTT-Unmodified,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.seppur.2008.12.021,2009,2.99,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Zhou - surface modification of PA-TFC
6,DCWTT-modified,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.seppur.2008.12.021,2009,1.89,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Zhou - surface modification of PA-TFC
8,1.2mol%MPD-HFAMDA,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide"",""Other""]",10.1016/j.memsci.2014.05.005,2014,1.76,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,La - bilayer membranes
9,Virgin before fouling,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.memsci.2013.02.010,2013,10.33,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Xu - anti-biofouling PA membrane
10,IU-modified before fouling,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.memsci.2013.02.010,2013,5.54,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Xu - anti-biofouling PA membrane
11,TiO2 Hybrid LP,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide"",""Other""]",10.1016/S0376-7388(02)00418-0,2003,11.88,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Kim - TiO2 hybrid PA membrane
13,Example 6,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4761234,1988,3.28,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Toray/Uemura patent - aromatic polyamide TFC
14,TFC PSf,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.ces.2012.05.033,2012,0.51,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Han - PDA modified TFC
15,TFC PDA@PSf-1h,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.ces.2012.05.033,2012,0.6,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Han - PDA modified TFC
16,TFC PDA@PSf-3h,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.ces.2012.05.033,2012,0.55,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Han - PDA modified TFC
17,TFC PDA@PSf-5h,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.ces.2012.05.033,2012,0.49,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Han - PDA modified TFC
18,No modification,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.seppur.2010.01.019,2010,2.6,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Zou - novel IP approach
19,TFC membrane by 2nd IP reaction for 60 s,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.seppur.2010.01.019,2010,2.42,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Zou - novel IP approach
20,TFC membrane by adding 1% DMSO in aqueous phase,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.seppur.2010.01.019,2010,4,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Zou - novel IP approach
21,Example 12,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",U.S. Patent No. 4039440,1977,1.44,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Cadotte patent - original MPD-TMC TFC
22,PEC-1000,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/S0011-9164(00)86002-6,1980,0.437,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Kurihara - PEC-1000 spiral wound
23,TFC-116,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.desal.2011.09.003,2011,5.055,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Rangarajan - CSMCRI TFC development
24,A1,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.desal.2011.08.034,2012,1.39,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Fathizadeh - explicitly states TMC and MPD purchased from Merck
25,A2,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.desal.2011.08.034,2012,0.28,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Fathizadeh - explicitly states TMC and MPD purchased from Merck
26,A3,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.desal.2011.08.034,2012,0.19,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Fathizadeh - explicitly states TMC and MPD purchased from Merck
27,B1,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.desal.2011.08.034,2012,1.17,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Fathizadeh - explicitly states TMC and MPD purchased from Merck
28,B2,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.desal.2011.08.034,2012,0.91,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Fathizadeh - explicitly states TMC and MPD purchased from Merck
29,B3,*Nc1cccc(NC(=O)c2cc(C(=O)O)cc(C(=O)N*)c2)c1,"[""Polyamide""]",10.1016/j.desal.2011.08.034,2012,0.76,m-Phenylenediamine,*Nc1cccc(N*)c1,Trimesoyl chloride,*C(=O)c1cc(C(=O)*)cc(C(=O)*)c1,,HIGH,Fathizadeh - explicitly states TMC and MPD purchased from Merck
